City,State,Year,Zipcode_x,AvrgCommute,AvrgIncome,Zipcode_y,Avrg_HomeValue,MedianMonthly_HC,Zipcode,Number
Peoria,Illinois,2015,118000,21.68300884221014,49906.67778982141,59000,132100.0,836.0,59000,17
Peoria,Illinois,2016,118000,21.091078736984965,48393.9308554854,59000,130500.0,800.0,59000,17
Peoria,Illinois,2017,118000,23.033045429052162,51004.69139115705,59000,131100.0,845.0,59000,17
Perris,California,2013,113400,45.6780130615476,31493.27183621584,56700,166400.0,1293.0,56700,6
Perris,California,2014,113400,41.52855289975913,28656.824236775363,56700,223000.0,1305.0,56700,6
Perris,California,2015,113400,49.56770774608186,35703.60626044956,56700,229500.0,1294.0,56700,6
Perris,California,2016,113400,44.69350509930221,38045.88493490391,56700,261800.0,1509.0,56700,6
Perris,California,2017,113400,43.7045866887354,35417.41799175908,56700,283300.0,1468.0,56700,6
Pharr,Texas,2013,114400,23.793748389234565,29026.738561272745,57200,73700.0,687.0,57200,48
Pharr,Texas,2014,114400,26.01713455213034,27828.573575897266,57200,68800.0,632.0,57200,48
Pharr,Texas,2015,114400,23.456017681334142,32289.688424812306,57200,66800.0,622.0,57200,48
Pharr,Texas,2016,114400,25.453968981587597,28611.048616468222,57200,74700.0,607.0,57200,48
Pharr,Texas,2017,114400,,33959.755878115335,57200,83100.0,573.0,57200,48
Philadelphia,Pennsylvania,2013,120000,39.64648400234224,39949.03064856939,60000,136800.0,885.0,60000,42
Philadelphia,Pennsylvania,2014,120000,40.259910807170904,41210.81354143918,60000,148700.0,921.0,60000,42
Philadelphia,Pennsylvania,2015,120000,40.48990114813954,42434.20950169908,60000,150700.0,922.0,60000,42
Philadelphia,Pennsylvania,2016,120000,41.00032849591512,44363.067010951534,60000,154000.0,926.0,60000,42
Philadelphia,Pennsylvania,2017,120000,40.35265516073158,47089.028666644364,60000,166200.0,941.0,60000,42
Phoenix,Arizona,2013,110000,30.00459310595475,43404.24855444768,55000,162300.0,937.0,55000,4
Phoenix,Arizona,2014,110000,29.228339287825357,44306.30633779475,55000,178800.0,941.0,55000,4
Phoenix,Arizona,2015,110000,31.356807946883464,45043.033805921485,55000,200800.0,993.0,55000,4
Phoenix,Arizona,2016,110000,31.76648390428525,45509.31552307048,55000,213300.0,1018.0,55000,4
Phoenix,Arizona,2017,110000,31.707753587158233,47732.93176922531,55000,231000.0,1060.0,55000,4
Pine Hills CDP,Florida,2013,113650,39.67536688663449,23319.78685829294,56825,91000.0,947.0,56825,12
Pine Hills CDP,Florida,2014,113650,40.280208874095344,23719.36222470974,56825,95400.0,917.0,56825,12
Pine Hills CDP,Florida,2015,113650,38.037553438207276,25463.12931876832,56825,97900.0,946.0,56825,12
Pine Hills CDP,Florida,2016,113650,38.79481132075472,26411.929547700078,56825,121800.0,988.0,56825,12
Pine Hills CDP,Florida,2017,113650,41.03649852516163,24113.038312368968,56825,137200.0,970.0,56825,12
Pittsburg,California,2013,114912,50.66728978433206,45740.91333760919,57456,238500.0,1378.0,57456,6
Pittsburg,California,2014,114912,56.064808458053,39078.503256231765,57456,279000.0,1474.0,57456,6
